Episode 100 Score: 0.00000000, Average Score: 0.00410000, Max: 0.20000000, Min: -0.01000000, Time: 0.72558260
Episode 4100 Score: 0.10000000, Average Score: 0.15730000, Max: 1.60000002, Min: -0.02000000, Time: 1.72300744
Episode 4200 Score: 0.10000000, Average Score: 0.14940000, Max: 2.60000004, Min: -0.02000000, Time: 1.62004757
Episode 4300 Score: 0.00000000, Average Score: 0.08320000, Max: 2.60000004, Min: -0.02000000, Time: 0.68160057
Episode 4400 Score: 0.10000000, Average Score: 0.05760000, Max: 2.60000004, Min: -0.02000000, Time: 1.59107208
Episode 4500 Score: 0.10000000, Average Score: 0.05870000, Max: 2.60000004, Min: -0.02000000, Time: 1.65702868
Episode 4600 Score: 0.00000000, Average Score: 0.06460000, Max: 2.60000004, Min: -0.02000000, Time: 1.01640320
Episode 4700 Score: 0.10000000, Average Score: 0.06980000, Max: 2.60000004, Min: -0.02000000, Time: 1.58408141
Episode 4800 Score: 0.10000000, Average Score: 0.06870000, Max: 2.60000004, Min: -0.02000000, Time: 1.66403604
Episode 4900 Score: 0.00000000, Average Score: 0.05740000, Max: 2.60000004, Min: -0.02000000, Time: 0.72357535
Episode 5000 Score: 0.10000000, Average Score: 0.07240000, Max: 2.60000004, Min: -0.02000000, Time: 2.71243310
Episode 5100 Score: 0.20000000, Average Score: 0.07960000, Max: 2.60000004, Min: -0.02000000, Time: 4.40644646
Episode 5200 Score: -0.01000000, Average Score: 0.09930000, Max: 2.60000004, Min: -0.02000000, Time: 2.96428418
Episode 5300 Score: 0.99000002, Average Score: 0.13310000, Max: 2.60000004, Min: -0.02000000, Time: 22.53696561
Episode 5400 Score: 0.00000000, Average Score: 0.19760000, Max: 2.60000004, Min: -0.02000000, Time: 0.68260217
Episode 5500 Score: 0.30000000, Average Score: 0.09170000, Max: 2.60000004, Min: -0.02000000, Time: 6.50956702
Episode 5600 Score: 0.00000000, Average Score: 0.07070000, Max: 2.60000004, Min: -0.02000000, Time: 0.66161084
Episode 5700 Score: 0.10000000, Average Score: 0.13590000, Max: 2.60000004, Min: -0.02000000, Time: 1.61906600
Episode 5800 Score: 2.10000003, Average Score: 0.25170000, Max: 2.60000004, Min: -0.02000000, Time: 44.44439530
Episode 5900 Score: 0.10000000, Average Score: 0.26670000, Max: 2.60000004, Min: -0.02000000, Time: 1.78496575
Episode 6000 Score: 0.20000000, Average Score: 0.33810001, Max: 2.60000004, Min: -0.02000000, Time: 5.44885850
Episode 6100 Score: 0.10000000, Average Score: 0.19200000, Max: 2.60000004, Min: -0.02000000, Time: 1.70699883
Episode 6200 Score: 0.50000001, Average Score: 0.18310000, Max: 2.60000004, Min: -0.02000000, Time: 10.04021454
Episode 6300 Score: 0.10000000, Average Score: 0.28520000, Max: 2.60000004, Min: -0.02000000, Time: 1.61507273
Episode 6400 Score: 0.30000000, Average Score: 0.22060000, Max: 2.60000004, Min: -0.02000000, Time: 6.68115425
Episode 6500 Score: 0.10000000, Average Score: 0.24150000, Max: 2.60000004, Min: -0.02000000, Time: 1.93284440
Episode 6600 Score: 0.79000001, Average Score: 0.31870000, Max: 2.60000004, Min: -0.02000000, Time: 17.46969390

Environment solved in 6570 episodes!    Average Score: 0.50110001
